"id","nazov_vstupny_bod","typ","rola_gating","vstupne_data_phi_minimalizacia","externy_proxy","pouzivatelovi_viditelne","prompt_model","prompt_verzovany","sk_korektnost","hallucination_traps","vystup_validacia","ai_moze_zapisat_priamo","audit_stopa","failure_modes","ux_loading_badge","testy_evals","hodnota_1_5","riziko_1_5","priorita_nalezu"
"A01","ai.draftSoapNote (ai.ts:356) / UI new-soap Diktovať AI","LLM","admin+veterinarian, requireFeature(assistant|deepThinking), rate 10/min/actor","SOAP doterajší text, vitálne funkcie, história; visitContext sa neposiela (F-04-3)","áno (Gemini/OpenAI/Alibaba podľa feature mappingu + auto-fallback)","áno","soap-draft.ts:153 configuredModel(), temp 0, 30s timeout, prompt v kóde","nie (vo verzii kódu)","áno (SK prompt)","Dopĺňanie faktov z návštevy; bez visitContext môže text vyzerať plnší než realita","zod + draft-safety.maskUnverifiedDraft + clinician-confirmation obálka; finalizácia vyžaduje potvrdenie","nie – návrh, obálka povinná","createSoapFromAI appendAiAuditEvent ai.ts:326; draftSoapNote → finalizácia BEZ ledger záznamu (F-04-1)","30s timeout, prázdna odpoveď, 10/min limit; UI má deterministický fallback","Loader2 + 'Drafting...' bez progresu/zrušenia (F-X7-1); AI text v UI neodlíšený (F-04-4)","lib/ai/__tests__/soap-draft.test.ts 7; server/ai-draft-safety.test.ts 25; ai-clinical-finalization.integration 23","5","4","F-04-1 P0, F-04-3 P1, F-04-4 P1"
"A02","ai.createSoapFromAI (ai.ts:225)","LLM + zápis","admin+veterinarian","celý SOAP text zhromaždený užívateľom","rovnaké ako A01","áno","rovnaký resolver","nie","áno","—","zod; obálka spotrebovaná pred zápisom","áno – vytvorí SOAP po potvrdení","appendAiAuditEvent ai.ts:326 ✅","chyba AI = žiadny zápis","toast","ai-clinical-finalization.integration.test.ts 23","4","3","—"
"A03","Hlas → SOAP: voice.transcribe + formatToSoap + voice.saveAsSoapNote (voice.ts:45+)","LLM (STT + formatter)","admin+veterinarian, requireFeature(voiceSoap)","audio blob nahrávky","áno (STT provider + resolver)","áno","transcription.ts:127 configuredModel(), 60s timeout","nie","áno (SK formatter)","STT môže zle rozpoznať odborný termín alebo dávku","zod; uloženie vyžaduje potvrdenie lekára; usedAi flag","áno – po potvrdení","voice.ts:808 appendAiAuditEvent ✅","60s timeout, prázdna transkripcia, jazyk","Stavy nahrávania/prepisu","lib/voice/__tests__ 6; extensions-ai-finalization 21","5","4","F-18-2 P1, F-X4-1 P1"
"A04","Extrakcia liečby z textu (lib/ai/treatment-extractor.ts)","LLM","admin+veterinarian (cez voice tok)","voľný text lekára","áno","čiastočne","treatment-extractor.ts:241 configuredModel()","nie","áno","hardcoded katalóg cien a DPH (F-11-1)","zod schéma položiek; používateľ vyberá","nie","nie je priamo (súčasť voice toku)","prázdny výsledok","zoznam na výber","lib/ai/__tests__/treatment-extractor*","4","4","F-11-1 P2"
"A05","voice.createBillFromExtractedItems (voice.ts:966)","LLM + zápis","admin+veterinarian","extrahované položky + cenník","áno","áno","cez treatment-extractor","nie","áno","nesprávna cena/DPH → nesprávna faktúra","zod; účtovanie až po potvrdení","áno – vytvorí faktúru po potvrdení","nie priamo v ledgeri","—","Používateľ potvrdzuje položky","server/__tests__/billing-*","4","4","F-11-1 P2"
"A06","Clinical Guardian (lib/ai/clinical-guardian.ts)","deterministické pravidlá + LLM doplnok","volané v SOAP toku","SOAP text pacienta","podľa funkcie","áno","nie je LLM prvého kroku (pravidlá interakcií)","n/a","áno","—","pravidlá (interakcie, dávky, alergény)","nie","nie je samostatná AI udalosť","—","panel s upozorneniami","lib/ai/__tests__/clinical-guardian*","4","3","F-X2-6 P2"
"A07","ai.dailySummary (ai.ts:719)","SQL (žiadny model)","protectedProcedure bez requireRole","agregáty praxe","nie","áno (vracia čísla)","SQL agregát","n/a","n/a","—","AI validácia netreba","nie","nie (nejde o AI)","—","bez UI (F-15-1)","dashboard.test.ts","3","1","F-15-1 P2, F-X4-5 P2"
"A08","ai.patientsOverdueVaccinations (ai.ts:546)","SQL","protectedProcedure bez requireRole","mená pacientov/majiteľov","nie","áno","SQL","n/a","n/a","—","—","nie","nie","—","bez UI","—","3","1","F-X4-5 P2, F-15-2 P2"
"A09","ai.patientsNeedingFollowUp (ai.ts:615)","SQL","protectedProcedure bez requireRole","mená pacientov/majiteľov","nie","áno","SQL","n/a","n/a","—","—","nie","nie","—","bez UI (F-10-2)","—","3","1","F-10-2 P3, F-X4-5 P2"
"A10","Agent agent.run (agent.ts:90, runner.ts:441)","LLM s toolmi","admin+veterinarian, requireFeature(agent), 20/min actor + 120/min practice","výstupy 25 toolov (PHI pacientov) do promptu","áno (AI_BASE_URL opt-in proxy, inak provider)","áno","resolver podľa deepThinking; 12 iterácií, 4096 tokenov, 60s","nie","áno (SK system prompt + pravidlo pre <db_record>)","Model môže vynechať mandatórne calculate_drug_dose (F-18-5)","zod v tooloch; write tools blokované bez allowWrites","áno na zápis po allowWrites + potvrdení (okrem F-18-1)","behy sa NEauditujú (F-18-3); mutácie len v audit_log","60s, prázdna odpoveď, buildFallbackSummary","zoznam nástrojov vedľa odpovede","lib/agent/__tests__ tools 61, runner 14, rate-limit 11","5","5","F-18-1 P0, F-18-2 P1, F-18-3 P2, F-18-5 P3"
